Date;Investor;Type;Trans;Volume;TurnOver
19/04/2011;Foreigners;Retail;Buy;231902;4488258
19/04/2011;Foreigners;Retail;Sell;108480;675580
19/04/2011;Foreigners;institutions;Buy;13032794;129982532
19/04/2011;Foreigners;institutions;Sell;10513044;109634600
19/04/2011;Arabs;Retail;Buy;3299604;7203946
19/04/2011;Arabs;Retail;Sell;4450011;24287605
19/04/2011;Arabs;institutions;Buy;3319897;14108442
19/04/2011;Arabs;institutions;Sell;4143295;15684770
19/04/2011;Egyptians;Retail;Buy;39334797;174780780
19/04/2011;Egyptians;Retail;Sell;45667741;191555738
19/04/2011;Egyptians;institutions;Buy;15714319;55990430
19/04/2011;Egyptians;institutions;Sell;10050742;44716093
20/04/2011;Foreigners;Retail;Buy;83150;776968
20/04/2011;Foreigners;Retail;Sell;42778;767853
20/04/2011;Foreigners;institutions;Buy;11722871;211330088
20/04/2011;Foreigners;institutions;Sell;11083297;218947971
20/04/2011;Arabs;Retail;Buy;4999649;10388089
20/04/2011;Arabs;Retail;Sell;4515032;13369713
20/04/2011;Arabs;institutions;Buy;2153987;11636671
20/04/2011;Arabs;institutions;Sell;1146691;5058326
20/04/2011;Egyptians;Retail;Buy;31688617;154179456
20/04/2011;Egyptians;Retail;Sell;45264914;182303939
20/04/2011;Egyptians;institutions;Buy;15463968;54050055
20/04/2011;Egyptians;institutions;Sell;4059530;21913524
21/04/2011;Foreigners;Retail;Buy;152615;520302
21/04/2011;Foreigners;Retail;Sell;159242;4338279
21/04/2011;Foreigners;institutions;Buy;8650219;150482259
21/04/2011;Foreigners;institutions;Sell;9400308;183460898
21/04/2011;Arabs;Retail;Buy;1610685;9078315
21/04/2011;Arabs;Retail;Sell;2474194;10194999
21/04/2011;Arabs;institutions;Buy;1487604;14157674
21/04/2011;Arabs;institutions;Sell;3869384;22542756
21/04/2011;Egyptians;Retail;Buy;33420592;194455075
21/04/2011;Egyptians;Retail;Sell;35465880;173717253
21/04/2011;Egyptians;institutions;Buy;10245021;54664376
21/04/2011;Egyptians;institutions;Sell;4197728;29103816
26/04/2011;Foreigners;Retail;Buy;224015;548666
26/04/2011;Foreigners;Retail;Sell;221575;333070
26/04/2011;Foreigners;institutions;Buy;5221333;77513441
26/04/2011;Foreigners;institutions;Sell;7069366;90086722
26/04/2011;Arabs;Retail;Buy;1684946;5603496
26/04/2011;Arabs;Retail;Sell;2958894;4985978
26/04/2011;Arabs;institutions;Buy;1746067;9925915
26/04/2011;Arabs;institutions;Sell;2461917;12749399
26/04/2011;Egyptians;Retail;Buy;41003304;144880099
26/04/2011;Egyptians;Retail;Sell;39052759;148544096
26/04/2011;Egyptians;institutions;Buy;4960793;33850678
26/04/2011;Egyptians;institutions;Sell;3075947;15623029
27/04/2011;Foreigners;Retail;Buy;310621;687471
27/04/2011;Foreigners;Retail;Sell;248073;550018
27/04/2011;Foreigners;institutions;Buy;6536608;91308728
27/04/2011;Foreigners;institutions;Sell;10092540;113116607
27/04/2011;Arabs;Retail;Buy;2847675;9500021
27/04/2011;Arabs;Retail;Sell;3440388;8775448
27/04/2011;Arabs;institutions;Buy;1706408;7610943
27/04/2011;Arabs;institutions;Sell;1207405;9712942
27/04/2011;Egyptians;Retail;Buy;37639186;163132665
27/04/2011;Egyptians;Retail;Sell;35128089;152691712
27/04/2011;Egyptians;institutions;Buy;5140834;30887018
27/04/2011;Egyptians;institutions;Sell;4064837;18280119
28/04/2011;Foreigners;Retail;Buy;281755;3890677
28/04/2011;Foreigners;Retail;Sell;21210;269471
28/04/2011;Foreigners;institutions;Buy;27108404;537760746
28/04/2011;Foreigners;institutions;Sell;30674067;432961881
28/04/2011;Arabs;Retail;Buy;1189170;8058645
